Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.1;Coordinar con productores locales para la creación de un mercados campesino a través de la postulación al Programa Mercados Campesinos de Indap.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Actas de reuniones establecidas;2030;$0;Potenciar la economía verde;La Unión;162
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.2;Sensibilizar a través de una charla informativa respecto al programa Transición a la Agricultura Sostenible de Indap a los productores de los Mercados Campesinos.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Actas de reuniones establecidas;2030;$0;Potenciar la economía verde;La Unión;163
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.3;Asesorar iniciativas locales de prácticas productivas sostenibles en la postulación a fondos que permitan darles continuidad.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Actas de reuniones establecidas;2030;$2.000.000;Potenciar la economía verde;La Unión;163
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.4;Sensibilizar a través de una charla informativa a productores lecheros para certificarse bajo el programa Chile Origen Consciente, bajo el Estándar Sector Lácteo.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;La Unión;164
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.5;Gestionar para la realización de talleres y charlas de transferencia técnica a nivel local de INIA sobre agroecológica, y SAG sobre agricultura orgánica, en espacio municipal.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Oficios a INIA e SAG sobre la realización de charlas a nivel local;2030;$0;Potenciar la economía verde;La Unión;164
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.6;Difundir a través de una charla informativa respecto a las opciones de financiamiento existentes de prácticas alternativas de quemas agrícolas, alternativas de fertilización orgánica y cuidado de suelos de programas del SAG.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;La Unión;165
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.7;Gestionar la creación de "Sello de producto local" para la comuna de La Unión, que agregue valor a productos locales producidos bajo prácticas sostenibles.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Protocolo de sello "Producto Local La Unión";2030;$3.200.000;Potenciar la economía verde;La Unión;165
Fomento de producción y consumo local de producción agrícola sostenible;Adaptación - Mitigación;Desarrollo Económico Verde 1.8;Instancia de intercambio de conocimientos entre las comunidades indígenas y los productores locales para promover una agricultura más sostenible y resiliente al cambio climático.;Desarrollo Rural y Fomento Productivo;Indap (Prodesal y PDTI), INIA, SAG;Financiamiento sectorial del Ministerio de Agricultura para la implementación de mercados campesinos, transferencia de conocimientos y prácticas.;Gestionar estrategia de difusión para la promoción del consumo de productos locales producidos bajo prácticas de agricultura sostenible. Coordinar con iniciativas locales que tengan prácticas productivas sostenibles para postular a fondos, por ejemplo el programa “Agroecológica para el buen vivir”.;Indicador 1 Número de agricultores que aplican prácticas sostenibles en la producción.;Registros de instancias de intercambio de saberes de comunidades indígenas;2030;$1.500.000;Potenciar la economía verde;La Unión;166
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.1;Generar instancias de intercambio de semillas de productores locales para aumentar la diversidad de cultivos agrícolas, rescatando y valorizando especies y variedades locales, en especial aquellas valoradas por los pueblos originarios.;Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa “Promoción de entornos saludables” del sistema Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Registros de instancias de intercambio de semillas gestionadas por la Municipalidad.;2030;$1.500.000;Potenciar la economía verde;La Unión;167
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.2;Difundir a través de una charla informativa los programas existentes del INIA para la adquisición de semillas de especies y variedades adaptadas a las nuevas condiciones agroclimáticas.;Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa “Promoción de entornos saludables” del sistema Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Registros de la realización de charla informativa;2030;$0;Potenciar la economía verde;La Unión;167
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.3;Levantar y difundir información respecto a alternativas de manejo que permitan a los productores adaptarse mejor a las condiciones locales, como cambio en los calendarios de siembra, estacionalidad, calendarios ancestrales que utilizan los pueblos originarios y reducción del estrés térmico que sean pertinentes a la comuna.;Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa “Promoción de entornos saludables” del sistema Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Oficio a Odepa e INIA sobre información recopilada para adaptación al cambio climático.;2030;$500.000;Potenciar la economía verde;La Unión;168
Fomentar la diversidad agrícola con capacidad adaptativa;Adaptación;Desarrollo Económico Verde 2.4;Fortalecer y promover huertos o invernaderos comunitarios existentes (prioridad) y/o creación de nuevos huertos comunitarios a través del apoyo a la postulación de fondos para la instalación o mantención de huertos comunitarios.;Desarrollo Rural;Indap (Prodesal, PDTI) INIA, Odepa;Financiamiento sectorial del Ministerio de Agricultura (INIA, Indap y Odepa) para la adquisición de semillas y difusión de información respecto a alternativas de manejo. Iniciativas de huertos urbanos podrían ser financiadas por el programa “Promoción de entornos saludables” del sistema Elige Vivir Sano del Ministerio de Desarrollo Social y Familia.;Difusión de instancias de intercambio de semillas y de huertos comunitarios para empoderar a la comunidad. Odepa e INIA deberán contar con la información para la región disponible para difundir.;Indicador 1 Número de productores que incorporan prácticas adaptativas;Registro de actividades de fortalecimiento y promoción y/o contrato tramitado con proveedor para creación de al menos uno nuevo huerto;2030;$6.000.000;Potenciar la economía verde;La Unión;169
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.1;Conformar mesa de trabajo o convenio de colaboración con Sernatur para extender la implementación del índice de saturación de destinos turísticos en los destinos turísticos con riesgo de pérdida de atractivo turístico por pérdida de biodiversidad e incendios forestales.;Oficina de Turismo, Centro de Negocios;Sernatur;Presupuesto general del Ministerio de Obras Públicas (MOP), Fondo Nacional de Desarrollo Regional (FNDR), y presupuesto del Gobierno Regional (Gore).;Apoyar a los actores locales en el acceso a capacitaciones, como las actividades desarrolladas por Sernatur. Adicionalmente, apoyar en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico, especialmente a comunidades indígenas en el desarrollo de emprendimientos; para ello, fomentar el acceso a los Programas de Desarrollo Territorial Indígena de Indap y Conadi (PDTI), y al Fondo Único de Financiamiento (FUF) de Indap. Sernatur y la municipalidad coordinarán los esfuerzos de fomento de líneas turísticas alternativas.;Indicador 1 índice de saturación desarrollado para destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Oficio con solicitud a Sernatur;NA;$0;Potenciar la economía verde;La Unión;170
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.2;Conformar mesa de trabajo con operadores turísticos comunales, con enfoque de género y en conjunto con las comunidades mapuches que realizan actividades de turismo en la comuna, para potenciar nuevas experiencias y destinos turísticos.;Oficina de Turismo, Centro de Negocios;Sernatur;Presupuesto general del Ministerio de Obras Públicas (MOP), Fondo Nacional de Desarrollo Regional (FNDR), y presupuesto del Gobierno Regional (Gore).;Apoyar a los actores locales en el acceso a capacitaciones, como las actividades desarrolladas por Sernatur. Adicionalmente, apoyar en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico, especialmente a comunidades indígenas en el desarrollo de emprendimientos; para ello, fomentar el acceso a los Programas de Desarrollo Territorial Indígena de Indap y Conadi (PDTI), y al Fondo Único de Financiamiento (FUF) de Indap. Sernatur y la municipalidad coordinarán los esfuerzos de fomento de líneas turísticas alternativas.;Indicador 1 índice de saturación desarrollado para destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Mesa de trabajo conformada;2030;$0;Potenciar la economía verde;La Unión;170
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.3;Elaboración de campañas anuales de marketing y difusión de los destinos turísticos en apoyo de Sernatur;Oficina de Turismo, Centro de Negocios;Sernatur;Presupuesto general del Ministerio de Obras Públicas (MOP), Fondo Nacional de Desarrollo Regional (FNDR), y presupuesto del Gobierno Regional (Gore).;Apoyar a los actores locales en el acceso a capacitaciones, como las actividades desarrolladas por Sernatur. Adicionalmente, apoyar en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico, especialmente a comunidades indígenas en el desarrollo de emprendimientos; para ello, fomentar el acceso a los Programas de Desarrollo Territorial Indígena de Indap y Conadi (PDTI), y al Fondo Único de Financiamiento (FUF) de Indap. Sernatur y la municipalidad coordinarán los esfuerzos de fomento de líneas turísticas alternativas.;Indicador 1 índice de saturación desarrollado para destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Registros de la campaña;2030;$23.000.000;Potenciar la economía verde;La Unión;171
Fomento de prácticas de mitigación y adaptación en establecimientos turísticos de la comuna;Adaptación - Mitigación;Desarrollo Económico Verde 4.1;Difundir en plataformas locales los establecimientos con sello S y promover su adopción entre operadores locales.;Oficina de Turismo, Centro de Negocios;Sernatur;Presupuesto municipal;Coordinación con Sernatur para apoyar en la adopción del sello;Indicador 1 Número de establecimientos con Sello de Turismo Sustentable S - Nivel 3 / Total establecimientos registrados en Sernatur para la comuna;Publicación en plataformas y/o medios de comunicación locales;2030;$500.000;Potenciar la economía verde;La Unión;171
Fomento de prácticas sustentables en las pesquerías;Adaptación - Mitigación;Desarrollo Económico Verde 5.1;Colaborar con Sernapesca en la implementación de planes de manejo en pesquerías locales en la comuna a través de un convenio de colaboración y/o mesa de trabajo, y desarrollar guías de prácticas sustentables en la pesca artesanal.;Dirección de Desarrollo Comunitario (Dideco);Sernapesca;Programas de la Subsecretaría de Desarrollo Regional y gobiernos regionales en coordinación con el Ministerio de Economía (Subsecretaría de Pesca);Fomentar el acceso a la información de fondos públicos disponibles, así como subsidios a la actividad de pesca artesanal;Indicador 1: pesquerías con planes de manejo Número de pesquerías con instrumentos de manejo sustentable (e.g. Planes de manejo, AMERB)/ Total pesquerías artesanales;Mesa de trabajo conformada y/o convenio de colaboración firmado;2030;$0;Potenciar la economía verde;La Unión;172
Fomento de prácticas sustentables en las pesquerías;Adaptación - Mitigación;Desarrollo Económico Verde 5.2;Desarrollar una campaña de concientización del cambio climático y prácticas sustentables en la pesca artesanal dirigida a los pescadores en la comuna, considerando diferentes medios de difusión, incluyendo la colaboración con asociaciones de pescadores.;Dirección de Desarrollo Comunitario (Dideco);Sernapesca;Programas de la Subsecretaría de Desarrollo Regional y gobiernos regionales en coordinación con el Ministerio de Economía (Subsecretaría de Pesca);Fomentar el acceso a la información de fondos públicos disponibles, así como subsidios a la actividad de pesca artesanal;Indicador 1: pesquerías con planes de manejo Número de pesquerías con instrumentos de manejo sustentable (e.g. Planes de manejo, AMERB)/ Total pesquerías artesanales;Campaña de concientización en medios locales, medios digitales y/o eventos.;2030;$4.000.000;Potenciar la economía verde;La Unión;172
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.1;Evaluar, seleccionar e implementar una figura de protección para humedales en la comuna.;Departamento de Medio Ambiente, Aseo y Ornato;Seremi del Medio Ambiente Dirección de Administración de Educación Municipal (DAEM);Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también: fondos Subdere, Fondo Mundial para el Medio Ambiente (GEF), fondos de ONG y financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al Servicio de Biodiversidad y Áreas Protegidas (SBAP). Catastro de humedales rurales y urbanos. Reconocimiento del valor ambiental y protección de humedales en el Plan Regulador Intercomunal del Borde Costero.;% de avance en protección de humedales vía figura formal. Número de humedales protegidos por medio de figura formal / Número de humedales seleccionados según acción Servicios Ecosistémicos 1.1;Informe con la evaluación y selección de la figura de protección para cada humedal seleccionado, y antecedentes enviados mediante oficios al Gore para su incorporación a instrumentos de planificación territorial (IPT) a nivel regional.;2030;$35.000.000;Conservar y mejorar los servicios ecosistémicos;La Unión;191
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.2;Conformar alianzas por medio de mesas de trabajo y/o convenios de colaboración para desarrollar Planes de Gestión Integral para humedales seleccionados.;Departamento de Medio Ambiente, Aseo y Ornato;Seremi del Medio Ambiente Dirección de Administración de Educación Municipal (DAEM);Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también: fondos Subdere, Fondo Mundial para el Medio Ambiente (GEF), fondos de ONG y financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al Servicio de Biodiversidad y Áreas Protegidas (SBAP). Catastro de humedales rurales y urbanos. Reconocimiento del valor ambiental y protección de humedales en el Plan Regulador Intercomunal del Borde Costero.;% de avance en protección de humedales vía figura formal. Número de humedales protegidos por medio de figura formal / Número de humedales seleccionados según acción Servicios Ecosistémicos 1.1;Conformación de mesa de trabajo o convenio de colaboración que incluya este objetivo.;2030;$0;Conservar y mejorar los servicios ecosistémicos;La Unión;192
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.3;Realizar actividades de educación ambiental y de sensibilización de la comunidad sobre la importancia de los humedales en conjunto con la Seremi del Medio Ambiente y/u otros actores relevantes. Incluirá difusión de posibles líneas de financiamiento comunitario.;Departamento de Medio Ambiente, Aseo y Ornato;Seremi del Medio Ambiente Dirección de Administración de Educación Municipal (DAEM);Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también: fondos Subdere, Fondo Mundial para el Medio Ambiente (GEF), fondos de ONG y financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al Servicio de Biodiversidad y Áreas Protegidas (SBAP). Catastro de humedales rurales y urbanos. Reconocimiento del valor ambiental y protección de humedales en el Plan Regulador Intercomunal del Borde Costero.;% de avance en protección de humedales vía figura formal. Número de humedales protegidos por medio de figura formal / Número de humedales seleccionados según acción Servicios Ecosistémicos 1.1;Actas, fotos y videos que evidencien la realización de esta acción;2030;$7.500.000;Conservar y mejorar los servicios ecosistémicos;La Unión;193
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.4;Reforzar y priorizar labores de fiscalización en humedales seleccionados, para asegurar cumplimiento de normativa ambiental.;Departamento de Medio Ambiente, Aseo y Ornato;Seremi del Medio Ambiente Dirección de Administración de Educación Municipal (DAEM);Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también: fondos Subdere, Fondo Mundial para el Medio Ambiente (GEF), fondos de ONG y financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al Servicio de Biodiversidad y Áreas Protegidas (SBAP). Catastro de humedales rurales y urbanos. Reconocimiento del valor ambiental y protección de humedales en el Plan Regulador Intercomunal del Borde Costero.;% de avance en protección de humedales vía figura formal. Número de humedales protegidos por medio de figura formal / Número de humedales seleccionados según acción Servicios Ecosistémicos 1.1;Actas, fotos y videos que evidencien la realización de esta acción;2030;$18.000.000;Conservar y mejorar los servicios ecosistémicos;La Unión;193
